name	lat	lng	desc	category	subcategory	image_file	teaser_file	in_person_file	teaser_description	in_person_radius	in_person_duration	in_person_file_type	color	icon	_layout
BeLeaf Aveda Concept Salons & Spa	45.0919511921167	-64.3583139125258	<p></p>	Health & Wellness	Health & Wellness	IMG_7122.JPG				None	None	None	#d783ff	spa	image
3 Hour Parking	45.0922584313151	-64.3635282615645	<p></p>	Parking	Parking					None	None	None	#ff9200	local_parking	text
3 Hour Parking	45.0922592856296	-64.3626751005649	<p></p>	Parking	Parking					None	None	None	#ff9200	local_parking	text
All-Day Parking	45.0923574484747	-64.3566743703559		Parking	Parking					None	None	None	#ff9300	local_parking	text
All-Day Parking	45.0928028716616	-64.3659859248146	<p></p>	Parking	Parking					None	None	None	#ff9300	local_parking	text
All-Day Parking	45.0909527436677	-64.3630382465198	<p></p>	Parking	Parking					None	None	None	#ff9300	local_parking	text
All-Day Parking	45.0928030815406	-64.3622448574752	<p></p>	Parking	Parking					None	None	None	#ff9300	local_parking	text
Library Pub	45.0914704472552	-64.3635314586572	<p>20 taps of international and local Beer. Local and international wines listed and fresh local food</p><p>11:30 - 12:00AM</p>	Food & Beverages	Food & Beverages	IMG_7216.JPG				None	None	None	#ff2600	restaurant	image
The Church Brewing Co	45.0916442863187	-64.3581688427366	"<p>The Church Brewing Company</p><p>We are a brewery, a farm to table restaurant, and a concert venue with a calming presence in a repurposed 1914 United Church.</p><p>Visit <a href=""http://www.churchbrewing.ca/"">www.churchbrewing.ca</a> to view our menus &amp; operating hours</p>"	Food & Beverages	Food & Beverages	cropped_front_of_church.jpg				None	None	None	#ff2600	restaurant	image
Joe's Food Emporium	45.0917135495953	-64.3621699337381	<p>9:00AM - 12:00AM</p>	Food & Beverages	Food & Beverages					None	None	None	#ff2600	restaurant	text
Anvil Beverage Room	45.0922077396003	-64.3600697955116	<p>10:00AM - 1:00AM</p>	Bar	Bar				<p></p>	None	None	None	#2981ca	local_drink	text
The Naked Crepe Bistro Inc	45.0916763364976	-64.361004702514	<p>9:00AM - 10:00PM</p>	Food & Beverages	Food & Beverages	IMG_7162.JPG				None	None	None	#ff2600	restaurant	image
