name	lat	lng	desc	category	subcategory	image_file	teaser_file	teaser_video_file	in_person_file	teaser_description	in_person_radius	in_person_duration	in_person_file_type	color	icon	_layout
Piecemeal Food Provisions	45.0977714	-64.656156	"<p><b>Website:</b> <a href=""https://www.piecemealfood.biz/"">https://www.piecemealfood.biz/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/piecemeal_food/?hl=en"">@piecemeal_food</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/piecemealns/"">PieceMeal Food Provisions</a></p><hr/><p>In 2020, PieceMeal emerged from Kara Friesen&#x27;s unwavering passion for promoting convenient options for local eating. Driven by a deep-rooted love for her community and a commitment to sustainability, Kara set out to create a culinary venture that would not only taste delicious but support local farmers and producers.</p><p>Understanding that food should be a delightful experience, culinary artisan Fiona Lewis crafts delicious recipes, spice blends, and sauces that perfectly complement the bounty of locally sourced produce here in the Annapolis Valley. Each dish is thoughtfully curated, emphasizing the natural flavours of the ingredients while celebrating the richness of local offerings.</p><p>By forging strong partnerships with local farmers and producers, PieceMeal ensures that their creations are not only bursting with taste but also contribute to the thriving ecosystem of sustainable agriculture.</p><p>Beyond the dishes they prepare, PieceMeal is on a mission to inspire conscious eating habits within communities. Kara believes that the choices we make in our daily meals have a profound impact on our health, environment, and the well-being of local producers. Through their approachable and flavorful offerings, PieceMeal endeavours to show that supporting local eating can be both enjoyable and meaningful.</p><p></p><hr/><p></p><p></p><p><b>How you can support Piecemeal Food:</b> Subscribe to a meal kit through the WFM2Go, sign up for their newsletter, or check out the educational resources found on their <a href=""https://www.piecemealfood.biz/educational-resources"">website</a>.</p>"	Health & Wellness	Health & Wellness	FullSizeRender.jpeg		Piecemeal.mp4		<p><i>A few words from Kara:</i></p>	None	None	None	#2981ca	fiber_manual_record	layout2
Olde Furrow Farm	45.0878579	-64.4618712	"<p></p><p><b>Website:</b> <a href=""https://www.oldefurrowfarm.com/"">https://www.oldefurrowfarm.com/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/oldefurrow/"">@oldefurrow</a></p><p><b>Facebook:</b> <a href=""https://www.facebook.com/OldeFurrowFarm/"">Olde Furrow Farm</a></p><hr/><p></p><p>Meet Courtney and Adam Webster, the husband and wife duo who are the proud owners of Olde Furrow Farm. Their passion for growing things and immersing themselves in the farming lifestyle has led them on a fulfilling journey. Today, they carry on a cherished tradition of farming that spans three generations, cultivating their land in the picturesque Annapolis Valley.</p><p>At Olde Furrow Farm, the Websters adhere to a set of core principles that guide their approach to farming. They prioritize the use of non-GMO seeds and completely avoid the use of harmful chemicals, embracing a more sustainable and eco-friendly path. Understanding the significance of a balanced ecosystem, they apply companion planting techniques and crop rotation, which fosters healthier soil and enhances overall biodiversity.</p><p>Recognizing the value of beneficial insects, they create a welcoming environment that attracts these helpers, promoting natural pest control without resorting to harmful pesticides. Additionally, they harness the power of compost teas and nutrient-rich compost, enriching their soil and providing their plants with the nourishment they need to flourish.</p><p>Olde Furrow Farm is a labour of love and dedication to responsible, regenerative agriculture. Courtney and Adam&#x27;s commitment to these principles not only yields high-quality produce but also contributes to the preservation and enhancement of the beautiful Annapolis Valley&#x27;s natural environment. With each harvest, they celebrate their connection to the land and the joy of nurturing it for future generations to come.</p><p></p><hr/><p><b>How you can support Olde Furrow Farm:</b> Sign up for their <a href=""https://www.oldefurrowfarm.com/about-our-csa-shares.html"">CSA</a>, visit their open house, A Place of Fruition, every Thursday from 2pm-6pm, or purchase their produce and seeds through the WFM2GO.</p>"	Food	Food	1B585F1E-21EF-4627-89C8-F82985C81BA9_-_downloaded_from_my_phone.jpeg		Olde_Furrow_Farm.mp4		<p><i>A birds eye view of the farm:</i></p>	None	None	None	#0a994f	fiber_manual_record	layout2
Lorax Woodlands	45.009966	-64.416684	<p></p><p>Lorax Woodlands is a charming intentional community nestled in the rolling hills near Black River in Kings County, Nova Scotia, just a short ten-minute drive from Wolfville. The community&#x27;s foundation rests upon a historic 200-acre farm dating back to the mid-1700s, which Lorax Woodlands acquired in 1999. Utilizing approximately 30 acres of cleared land, they divided it into eight lots, while the remaining 170 acres of woodland became collectively owned land, reserved for recreation, forest conservation, and education.</p><p></p><hr/><p></p><p>This woodland is an integral part of the Acadian forest, boasting a diverse array of hardwood and softwood species and teeming with abundant wildlife. Its enchanting features include beaver ponds, a marsh, and two streams that gracefully flow into Lumsden Lake. Lorax Woodlands has a resolute commitment to preserving this communal woodland, adopting sustainable forest management practices and ecologically sound land-use strategies to encourage the land&#x27;s indigenous biodiversity and natural resources over time. Their vision is to set an example for others as a model community.</p><p>The name &quot;Lorax Woodlands&quot; draws inspiration from Dr. Seuss&#x27; tale, &quot;The Lorax,&quot; which portrays a place ravaged by greedy deforestation. The character of the Lorax represents the voice of wisdom, determined to safeguard the creatures and the forest. For the community, this name symbolizes their aspiration to cherish their surroundings, harmoniously coexist with nature and their neighbours, and, in their small way, contribute to a more sustainable way of living. Throughout their journey, Lorax Woodlands takes pride in what they have achieved over the past two decades, and they strive to leave a positive impact on the environment, honouring the spirit of The Lorax.</p>	Community Engagement	Community Engagement	Lorax.jpg				<p></p>	None	None	None	#ff8500	fiber_manual_record	image
Revival Seeds	45.004957	-65.1135591	"<p></p><p><b>Website: </b><a href=""https://revivalseeds.ca/"">https://revivalseeds.ca/</a></p><p><b>Instagram: </b><a href=""https://www.instagram.com/revivalseeds"">@revivalseeds</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/revivalseeds"">Revival Seeds</a></p><p><b>Youtube: </b><a href=""https://www.youtube.com/@revivalseeds"">Revival Seeds</a></p><p></p><hr/><p></p><p>Nestled in Middleton, you&#x27;ll find Revival Seeds, a thriving farm and business. This family-owned and operated venture is led by Ken and Kathy, joined by their dedicated daughter, Mallory Byrka. Their unwavering commitment is to offer customers hardy heirloom, open-pollinated, and diverse seed varieties cultivated under strict organic production principles.</p><p>Revival Seeds honours a century-old tradition that began nearly 100 years ago on the prairie soils near Riding Mountain, Manitoba. Continuing the legacy of the original family farm, the Byrka family carries forward the passion for seeds and gardening passed down through generations.</p><p>With their roots deeply connected to the land and their hearts dedicated to preserving heirloom seeds, Revival Seeds strives to provide customers with premium-quality seeds that embody the richness of heritage varieties. Their organic cultivation methods and dedication to sustainable practices ensure that every seed is nurtured with care and reverence.</p><p>At Revival Seeds, the love for the land, the legacy of family farming, and the pursuit of preserving genetic diversity converge, making it a cherished destination for those seeking authentic, time-tested seeds and a true connection to the earth.</p><hr/><p></p><p><b>How you can support Revival Seeds:</b> Visit their website and browse through their large collection of seeds, or sign up for their mailing list.</p><p></p>"	Agriculture	Agriculture					<p></p>	None	None	None	#0a994f	fiber_manual_record	text
As The River Bends Retreat	45.031286	-64.2425695	"<p></p><p><b>Website:</b> <a href=""https://www.astheriverbendsretreat.com/"">https://www.astheriverbendsretreat.com/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/as_the_river_bends_retreat/"">@as_the_river_bends_retreat</a></p><p><b>Facebook:</b> <a href=""https://m.facebook.com/people/As-The-River-Bends-Retreat/100065217982128/"">As The River Bends Retreat</a></p><hr/><p></p><p>The River Bends Retreat is a harmonious eco-conscious haven, nestled beside the serene Halfway River. This tranquil sanctuary provides nature-inspired experiences through the property that change with the seasons and reflect the offerings of the natural world. Embracing a host of eco-friendly elements, their one-of-a-kind domes offer guests a chance to immerse themselves in the beauty of nature. Drift off to sleep under a blanket of stars and awaken to the soothing melodies of birdsong. At the retreat, guests can truly disconnect from the outside world to reconnect with themselves and the wonders of the natural environment.</p><hr/><p></p><p><b>How you can support As The River Bends Retreat:</b> Book an evening stay at one of their many beautiful domes (https://www.astheriverbendsretreat.com/domes) or sign up to their email list to be the first to know about their community events.</p>"	Health & Wellness	Health & Wellness			As_The_River_Bends_Video.MP4		<p><i>A closer look at the beautiful property:</i></p>	None	None	None	#2981ca	fiber_manual_record	layout2
Seven Acres Farm & Ferments	45.1749499	-64.4464105	"<p></p><p><b>Website:</b> <a href=""https://www.sevenacresfarm.ca/"">https://www.sevenacresfarm.ca/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/sevenacresfarmandferments/"">@sevenacresfarmandferments</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/sevenacresfarmns/"">Seven Acres Farm and Ferments</a></p><hr/><p></p><p>Seven Acres Farm specializes in crafting a seasonally-influenced line of hand-crafted, small-batch, fermented sauerkrauts, kimchis, and pickles. Their dedication to ecological regeneration plays a significant role in their farming approach. Mindful of their land management practices, they prioritize the well-being of the creatures, soil, and water that share the space with them. Embracing techniques such as no-spray crop management, cover crops, and crop rotation, they work to ensure sustainable and responsible farming.</p><p>To foster a thriving ecosystem, Seven Acres Farm goes beyond traditional farming methods. They leave parts of their farm and forest undisturbed, and thoughtfully plant hedgerows and perennials that offer essential support to animals, birds, and insects throughout all seasons.</p><p>Passionate about sourcing top-quality ingredients, the farm proudly collaborates with local Nova Scotia farmers who share their commitment to ecologically sensitive growing practices. By integrating their values into every aspect of their work, Seven Acres Farm strives to make a positive impact on the environment while providing their customers with exceptional and sustainable products.</p><p></p><hr/><p><b>How to support Seven Acres Farms:</b> Apart from making their ferments available at a roadside farm stand (open daily from 7am-8pm) and their products can be found on the shelves of several esteemed retailers across Nova Scotia, you can visit Jocelyn and Tim at their booth during the Saturday Wolfville Farmers&#x27; Market.</p>"	Food	Food					<p></p>	None	None	None	#0a994f	fiber_manual_record	text
Soft Pine Wellness	45.0771182	-64.4942826	"<p></p><p><b>Website:</b> <a href=""https://www.softpinewellness.ca/"">https://www.softpinewellness.ca/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/soft.pine.forest.wellness/"">@soft.pine.forest.wellness</a></p><hr/><p></p><p>Soft Pine Wellness, established in 2021 by Wil Brunner, aims to empower individuals in discovering, exploring, and deepening their personal connections with nature. Through forest bathing walks and experiences guided by Wil, participants embark on a journey of sensory activities that attune their bodies, minds, and hearts to the natural world.</p><p>For those seeking a more intimate experience, Soft Pine Wellness offers the option of booking private sessions for individuals and groups. These sessions can take place in a location of the participant&#x27;s choice or at a local setting where public walks are also conducted. Wil can tailor specific elements and the overall flow to suit the unique preferences and goals of the participants.</p><p>Recognizing the diverse needs of people and groups, Soft Pine Wellness ensures that their nature therapy, forest bathing, and related experiences are trauma-informed and rooted in extensively researched concepts. It is widely acknowledged that spending time in nature can significantly enhance mental and physical well-being, foster personal growth, and cultivate joy and contentment.</p><p>Beyond promoting human health, these experiences also instill a sense of stewardship and conservation for the precious land and waters on which we all rely. Soft Pine Wellness stands committed to nurturing a deeper connection between individuals and the natural world, fostering a profound appreciation for its beauty and resources.</p><hr/><p></p><p><b>How you can support Soft Pine Wellness:</b> Participate in a community forest bathing walk, book a private experience, or check out one of the many resources available <a href=""https://www.softpinewellness.ca/resources--research.html"">here</a>.</p>"	Health & Wellness	Health & Wellness					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Wholesum Refillery	45.0776619	-64.496445	"<p></p><p><b>Website:</b> <a href=""https://www.wholesumrefillery.com/"">https://www.wholesumrefillery.com/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/wholesumrefillery/"">@wholesumrefillery</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/wholesumrefilleryshoppe/"">Wholesum Refillery</a></p><hr/><p></p><p>Wholesum Refillery is the shared vision of Rachael and Krista, childhood friends driven by a desire to make a meaningful impact. Their passion lies in reducing single-use plastic consumption within their community, recognizing that positive change often begins with small steps in local neighborhoods. Their mission is to establish a welcoming space where individuals can take pride in the products they purchase and transition to low-waste shopping practices.</p><p>At Wholesum Refillery, an array of home, bath, and beauty products are offered in bulk, ranging from shampoo to household cleaners. Emphasizing sustainability, customers are encouraged to bring their clean, previously used containers to be refilled!</p><hr/><p></p><p><b>How you can support Wholesum Refillery:</b> Stop by their storefront in Kentville to shop local or sign up for their email list!</p>"	Waste Reduction	Waste Reduction					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Herbal Hill Farm	45.0922114353238	-64.7603167169854	"<p></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/herbalhillfarm/"">@herbalhillfarm</a></p><p><b>Facebook:</b> <a href=""https://www.facebook.com/wholegreenheart/"">Herbal Hill Farm</a></p><p></p><hr/><p></p><p>Michelle Wolf of Herbal Hill Farm has been an organic gardener and herbalist for over 25 years. Together with her husband Al, they run a farmers’ market business, cultivating perennial plants, seeds, veggies, herbs, berries, flowers, and ornamental plants on their family&#x27;s homestead. They also enjoy wild-crafting, gathering natural treasures from the wild for their signature products. Their gardening philosophy revolves around ecological principles, emphasizing biodiversity, hand tools, simplicity, and beauty.</p><p>Read more about Michelle’s journey <a href=""https://wfm2go.localfoodmarketplace.com/Producer/05b94dc3-a500-44c7-b11f-26a5dfcbf3bf"">here.</a></p><p></p>"	Health & Wellness	Health & Wellness					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Gaspereau Valley Fibres	45.070903	-64.335006	"<p></p><p><b>Website:</b> <a href=""https://www.gaspereauvalleyfibres.ca/"">https://www.gaspereauvalleyfibres.ca/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/gaspereauvalleyfibres/"">@gaspereauvalleyfibres</a></p><p><b>Facebook:</b> <a href=""https://www.facebook.com/p/Gaspereau-Valley-Fibres-100023966092341/"">Gaspereau Valley Fibres</a></p><hr/><p></p><p>Gaspereau Valley Fibres is a family-owned farm and wool shop situated in the Gaspereau Valley, located just outside of Wolfville. They specialize in providing natural, locally grown fibre yarns. Their inventory caters to knitters, spinners, weavers, and felters, encompassing spinning wheels, looms, tools, and notions to meet the needs of crafters at all skill levels.</p><p>With a remarkable experience of over 25 years, Gaspereau Valley Fibres has dedicated its efforts to raising and caring for Cotswold sheep, nurturing a flock of over 60 of these splendid animals. Their commitment extends to processing approximately 200 kgs of fleece, which is thoughtfully sold in their farm wool shop.</p><p>Beyond providing exceptional products, Gaspereau Valley Fibres fosters a sense of community by hosting an array of classes, where individuals can enhance their skills and connect with fellow fibre enthusiasts. Their approach to wool and farming practices demonstrates how businesses and individuals can contribute to climate action by making conscious choices that prioritize sustainability, local sourcing, and environmental stewardship.</p><hr/><p></p><p><b>How you can support Gaspereau Valley Fibres:</b> Visit the farm and wool shop, register for a <a href=""https://www.gaspereauvalleyfibres.ca/classes/"">beginner class</a>, or sign up for their newsletter.</p>"	Other	Other					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
